Local time,Ask,Bid,AskVolume,BidVolume
10.06.2016 08:01:08.669 GMT+0100,6206.19,6205.5,0,0.0001
10.06.2016 08:01:08.720 GMT+0100,6206.55,6205.55,0,0.0009
10.06.2016 08:01:08.772 GMT+0100,6206.55,6205.55,0,0.0009
10.06.2016 08:01:08.822 GMT+0100,6206.42,6205.42,0,0.0009
10.06.2016 08:01:09.149 GMT+0100,6206.23,6205.4,0,0.0001
10.06.2016 08:01:09.369 GMT+0100,6206.28,6205.4,0,0.0001
10.06.2016 08:01:09.699 GMT+0100,6206.32,6205.4,0,0.0001
10.06.2016 08:01:09.919 GMT+0100,6206.34,6205.4,0,0.0001
10.06.2016 08:01:10.176 GMT+0100,6206.34,6205.5,0,0.0001
10.06.2016 08:01:10.480 GMT+0100,6206.32,6205.5,0,0.0001
10.06.2016 08:01:10.579 GMT+0100,6206.59,6205.59,0,0.0009
10.06.2016 08:01:10.799 GMT+0100,6206.62,6205.62,0,0.0009
10.06.2016 08:01:11.569 GMT+0100,6206.59,6205.59,0,0.0009
10.06.2016 08:01:12.100 GMT+0100,6206.57,6205.57,0,0.0009
10.06.2016 08:01:12.339 GMT+0100,6206.55,6205.55,0,0.0009
10.06.2016 08:01:12.885 GMT+0100,6206.55,6205.55,0,0.0009
10.06.2016 08:01:13.323 GMT+0100,6206.3,6205.4,0,0.0001
10.06.2016 08:01:13.439 GMT+0100,6206.31,6205.4,0,0.0001
10.06.2016 08:01:13.891 GMT+0100,6206.42,6205.42,0,0.0009
10.06.2016 08:01:14.176 GMT+0100,6206.42,6206.207,0,0.0003
10.06.2016 08:01:14.647 GMT+0100,6206.4,6206.3,0,0.0003
10.06.2016 08:01:14.697 GMT+0100,6206.28,6205.28,0,0.0009
10.06.2016 08:01:14.868 GMT+0100,6206.27,6205.27,0,0.0009
10.06.2016 08:01:15.529 GMT+0100,6206.26,6205.26,0,0.0009
10.06.2016 08:01:16.287 GMT+0100,6206.27,6205.27,0,0.0009
10.06.2016 08:01:16.849 GMT+0100,6206.25,6205.25,0,0.0009
10.06.2016 08:01:16.959 GMT+0100,6206.21,6205.21,0,0.0009
10.06.2016 08:01:17.289 GMT+0100,6206.2,6205.2,0,0.0013
10.06.2016 08:01:17.383 GMT+0100,6206.2,6205.8,0,0.0003
10.06.2016 08:01:17.718 GMT+0100,6205.98,6205.76,0,0.0003
10.06.2016 08:01:17.839 GMT+0100,6205.73,6205,0,0.0001
10.06.2016 08:01:18.059 GMT+0100,6205.82,6205,0,0.0001
10.06.2016 08:01:18.279 GMT+0100,6205.57,6205,0,0.0001
10.06.2016 08:01:18.779 GMT+0100,6205.62,6205,0,0.0001
10.06.2016 08:01:18.830 GMT+0100,6205.62,6204.62,0,0.0009
10.06.2016 08:01:19.049 GMT+0100,6205.58,6204.58,0,0.0009
10.06.2016 08:01:19.379 GMT+0100,6205.63,6204.63,0,0.0009
10.06.2016 08:01:19.780 GMT+0100,6205.73,6204.73,0,0.0009
10.06.2016 08:01:20.493 GMT+0100,6205.74,6205.413,0,0.0003
10.06.2016 08:01:20.744 GMT+0100,6205.42,6204.5,0,0.0001
10.06.2016 08:01:21.029 GMT+0100,6205.64,6204.64,0,0.0009
10.06.2016 08:01:21.395 GMT+0100,6205.19,6204.5,0,0.0001
10.06.2016 08:01:21.623 GMT+0100,6205.32,6204.5,0,0.0001
10.06.2016 08:01:21.715 GMT+0100,6205.32,6204.4,0,0.0001
10.06.2016 08:01:21.847 GMT+0100,6205.47,6204.47,0,0.0009
10.06.2016 08:01:21.997 GMT+0100,6205.47,6205.223,0,0.0003
10.06.2016 08:01:22.217 GMT+0100,6205.49,6205.263,0,0.0003
10.06.2016 08:01:22.674 GMT+0100,6205.49,6204.8,0,0.0003
10.06.2016 08:01:22.725 GMT+0100,6205.48,6204.8,0,0.0003
10.06.2016 08:01:23.669 GMT+0100,6204.85,6204.683,0,0.0003
10.06.2016 08:01:24.157 GMT+0100,6204.65,6203.9,0,0.0001
10.06.2016 08:01:24.222 GMT+0100,6204.65,6203.7,0,0.0001
10.06.2016 08:01:24.404 GMT+0100,6204.65,6204.3,0,0.0003
10.06.2016 08:01:24.724 GMT+0100,6204.64,6204.28,0,0.0003
10.06.2016 08:01:25.305 GMT+0100,6204.31,6203.4,0,0.0001
10.06.2016 08:01:25.356 GMT+0100,6204.37,6203.4,0,0.0001
10.06.2016 08:01:25.406 GMT+0100,6204.4,6204.19,0,0.0003
10.06.2016 08:01:25.759 GMT+0100,6204.27,6203.4,0,0.0001
10.06.2016 08:01:26.088 GMT+0100,6204.26,6203.4,0,0.0001
10.06.2016 08:01:26.639 GMT+0100,6204.2,6203.4,0,0.0001
10.06.2016 08:01:26.830 GMT+0100,6204.2,6203.2,0,0.0013
10.06.2016 08:01:26.881 GMT+0100,6204.18,6203.2,0,0.0001
10.06.2016 08:01:27.188 GMT+0100,6203.85,6203.75,0,0.0003
10.06.2016 08:01:27.536 GMT+0100,6203.63,6202.8,0,0.0001
10.06.2016 08:01:27.610 GMT+0100,6203.63,6203.477,0,0.0003
10.06.2016 08:01:28.071 GMT+0100,6203.44,6202.44,0,0.0009
10.06.2016 08:01:28.508 GMT+0100,6203.46,6202.46,0,0.0009
10.06.2016 08:01:28.728 GMT+0100,6203.44,6202.44,0,0.0009
10.06.2016 08:01:28.950 GMT+0100,6203.43,6202.43,0,0.0009
10.06.2016 08:01:29.416 GMT+0100,6203.4,6202.4,0,0.0013
10.06.2016 08:01:29.498 GMT+0100,6203.39,6202.4,0,0.0001
10.06.2016 08:01:29.828 GMT+0100,6203.25,6202.25,0,0.0009
10.06.2016 08:01:30.242 GMT+0100,6203.28,6202.927,0,0.0003
10.06.2016 08:01:30.292 GMT+0100,6202.97,6202,0,0.0001
10.06.2016 08:01:30.577 GMT+0100,6202.97,6202.757,0,0.0003
10.06.2016 08:01:30.709 GMT+0100,6202.71,6202,0,0.0001
10.06.2016 08:01:30.930 GMT+0100,6202.61,6202,0,0.0001
10.06.2016 08:01:31.247 GMT+0100,6202.61,6202.37,0,0.0003
10.06.2016 08:01:31.921 GMT+0100,6202.41,6202.237,0,0.0003
10.06.2016 08:01:32.021 GMT+0100,6202.41,6201.5,0,0.0001
