Local time,Ask,Bid
22.06.2016 08:01:13.579 GMT+0100,6256.313,6254.94
22.06.2016 08:01:13.663 GMT+0100,6256.04,6255.04
22.06.2016 08:01:14.072 GMT+0100,6256.453,6255.06
22.06.2016 08:01:14.537 GMT+0100,6256.63,6255.09
22.06.2016 08:01:14.855 GMT+0100,6257.427,6255.98
22.06.2016 08:01:15.239 GMT+0100,6257.11,6256.11
22.06.2016 08:01:15.583 GMT+0100,6257.423,6255.97
22.06.2016 08:01:15.940 GMT+0100,6257.403,6256.11
22.06.2016 08:01:16.242 GMT+0100,6258.007,6255.92
22.06.2016 08:01:16.591 GMT+0100,6258.733,6257.2
22.06.2016 08:01:16.904 GMT+0100,6258.64,6257.64
22.06.2016 08:01:17.386 GMT+0100,6258.64,6257.64
22.06.2016 08:01:17.642 GMT+0100,6257.327,6255.98
22.06.2016 08:01:17.843 GMT+0100,6257.313,6255.94
22.06.2016 08:01:18.173 GMT+0100,6256.82,6255.46
22.06.2016 08:01:18.511 GMT+0100,6257.18,6255.54
22.06.2016 08:01:19.292 GMT+0100,6256.9,6256.8
22.06.2016 08:01:19.433 GMT+0100,6256.85,6256
22.06.2016 08:01:19.556 GMT+0100,6256.85,6256.5
22.06.2016 08:01:19.758 GMT+0100,6256.76,6256
22.06.2016 08:01:19.809 GMT+0100,6256.76,6256
22.06.2016 08:01:19.859 GMT+0100,6255.4,6255
22.06.2016 08:01:20.153 GMT+0100,6255.26,6255
22.06.2016 08:01:20.703 GMT+0100,6255.29,6255
22.06.2016 08:01:20.813 GMT+0100,6255.35,6255
22.06.2016 08:01:21.208 GMT+0100,6255.4,6255.3
22.06.2016 08:01:21.364 GMT+0100,6255.73,6255.3
22.06.2016 08:01:21.715 GMT+0100,6256.17,6256
22.06.2016 08:01:21.913 GMT+0100,6256.24,6256
22.06.2016 08:01:22.006 GMT+0100,6257.013,6255.24
22.06.2016 08:01:22.243 GMT+0100,6257.983,6256.35
22.06.2016 08:01:22.591 GMT+0100,6257.87,6256.87
22.06.2016 08:01:22.903 GMT+0100,6257.84,6256.84
22.06.2016 08:01:23.233 GMT+0100,6257.473,6256.12
22.06.2016 08:01:23.673 GMT+0100,6257.167,6257
22.06.2016 08:01:23.783 GMT+0100,6257.153,6255.96
22.06.2016 08:01:24.003 GMT+0100,6257.027,6255.58
22.06.2016 08:01:24.332 GMT+0100,6256.62,6256.5
22.06.2016 08:01:25.102 GMT+0100,6256.57,6256.47
22.06.2016 08:01:25.873 GMT+0100,6256.5,6256.4
22.06.2016 08:01:26.202 GMT+0100,6256.57,6256.47
22.06.2016 08:01:26.420 GMT+0100,6256.957,6255.57
22.06.2016 08:01:26.643 GMT+0100,6257.11,6256.11
22.06.2016 08:01:26.980 GMT+0100,6257.15,6256.15
22.06.2016 08:01:27.413 GMT+0100,6257.01,6255.73
22.06.2016 08:01:27.900 GMT+0100,6256.62,6256.5
22.06.2016 08:01:28.025 GMT+0100,6257.04,6255.62
22.06.2016 08:01:28.075 GMT+0100,6257.067,6255.7
22.06.2016 08:01:28.402 GMT+0100,6257.04,6256.04
22.06.2016 08:01:29.172 GMT+0100,6257.03,6256.03
22.06.2016 08:01:29.723 GMT+0100,6257.12,6256.12
22.06.2016 08:01:30.054 GMT+0100,6257.07,6256.8
22.06.2016 08:01:30.104 GMT+0100,6257.07,6256.5
22.06.2016 08:01:30.188 GMT+0100,6257.07,6256.8
22.06.2016 08:01:30.378 GMT+0100,6256.79,6255.37
22.06.2016 08:01:30.540 GMT+0100,6256.33,6256
22.06.2016 08:01:32.590 GMT+0100,6256.2,6256
22.06.2016 08:01:33.243 GMT+0100,6256.5,6255.2
22.06.2016 08:01:33.293 GMT+0100,6256.49,6255.17
22.06.2016 08:01:33.747 GMT+0100,6256.17,6256
22.06.2016 08:01:34.648 GMT+0100,6256.17,6255.8
22.06.2016 08:01:34.782 GMT+0100,6256.08,6255.8
22.06.2016 08:01:35.150 GMT+0100,6255.9,6255.5
22.06.2016 08:01:35.689 GMT+0100,6255.9,6255.8
22.06.2016 08:01:36.154 GMT+0100,6256.3,6254.9
22.06.2016 08:01:36.212 GMT+0100,6256.2,6255.2
22.06.2016 08:01:36.656 GMT+0100,6256.2,6255.5
22.06.2016 08:01:36.982 GMT+0100,6255.52,6255.42
22.06.2016 08:01:37.312 GMT+0100,6255.87,6255.5
22.06.2016 08:01:37.753 GMT+0100,6255.88,6255.5
22.06.2016 08:01:37.926 GMT+0100,6255.9,6255.8
22.06.2016 08:01:38.082 GMT+0100,6256.1,6254.7
22.06.2016 08:01:38.302 GMT+0100,6255.88,6254.88
22.06.2016 08:01:38.861 GMT+0100,6255.9,6255.8
22.06.2016 08:01:39.072 GMT+0100,6255.96,6255.8
22.06.2016 08:01:39.292 GMT+0100,6255.95,6255.8
22.06.2016 08:01:39.370 GMT+0100,6256.317,6254.95
22.06.2016 08:01:39.512 GMT+0100,6256.03,6255.03
22.06.2016 08:01:39.964 GMT+0100,6256.03,6255.8
22.06.2016 08:01:40.266 GMT+0100,6256.1,6256
22.06.2016 08:01:40.412 GMT+0100,6256,6255.3
22.06.2016 08:01:40.612 GMT+0100,6255.127,6253.78
22.06.2016 08:01:40.832 GMT+0100,6255.21,6253.83
22.06.2016 08:01:41.272 GMT+0100,6255.29,6253.87
22.06.2016 08:01:41.750 GMT+0100,6255.33,6253.99
22.06.2016 08:01:42.066 GMT+0100,6254.92,6254.8
22.06.2016 08:01:42.372 GMT+0100,6254.89,6254.79
22.06.2016 08:01:42.422 GMT+0100,6255.63,6253.89
22.06.2016 08:01:42.879 GMT+0100,6254.9,6254.8
22.06.2016 08:01:42.929 GMT+0100,6255.46,6254.8
22.06.2016 08:01:43.030 GMT+0100,6255.46,6255.3
22.06.2016 08:01:43.422 GMT+0100,6254.87,6254.77
22.06.2016 08:01:43.473 GMT+0100,6255.1,6253.7
22.06.2016 08:01:43.802 GMT+0100,6255.063,6253.59
22.06.2016 08:01:44.325 GMT+0100,6254.43,6254.3
22.06.2016 08:01:44.485 GMT+0100,6254.89,6253.37
22.06.2016 08:01:44.586 GMT+0100,6254.933,6253.2
22.06.2016 08:01:45.037 GMT+0100,6255.817,6254.45
22.06.2016 08:01:45.440 GMT+0100,6255.65,6254.65
22.06.2016 08:01:45.782 GMT+0100,6255.723,6254.37
22.06.2016 08:01:46.434 GMT+0100,6255.233,6255
22.06.2016 08:01:46.554 GMT+0100,6254.827,6253.48
22.06.2016 08:01:46.772 GMT+0100,6254.7,6253.7
22.06.2016 08:01:47.102 GMT+0100,6254.53,6254.43
22.06.2016 08:01:47.238 GMT+0100,6254.53,6254
22.06.2016 08:01:47.322 GMT+0100,6254.46,6254
22.06.2016 08:01:47.549 GMT+0100,6254.627,6253.28
22.06.2016 08:01:47.920 GMT+0100,6254.41,6253.41
22.06.2016 08:01:48.476 GMT+0100,6254.28,6254
22.06.2016 08:01:48.527 GMT+0100,6254.26,6252.98
22.06.2016 08:01:48.642 GMT+0100,6254.277,6252.83
22.06.2016 08:01:49.007 GMT+0100,6253.83,6253.5
22.06.2016 08:01:49.476 GMT+0100,6253.75,6253.5
22.06.2016 08:01:49.526 GMT+0100,6253.99,6252.37
